 100861447 function calls (100861288 primitive calls) in 187.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       12    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
      146    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      168    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
       12    0.000    0.000    0.000    0.000 posixpath.py:115(splitext)
       77    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        7    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
       24    0.000    0.000    0.000    0.000 __init__.py:799(acquire)
        1    0.000    0.000    0.000    0.000 __init__.py:1676(basicConfig)
       12    0.000    0.000    0.000    0.000 __init__.py:532(usesTime)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
       83    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
       25    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
       34    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
       35    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       12    0.000    0.000    0.000    0.000 __init__.py:149(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:118(getLevelName)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
